x;y
117;649
737;259
520;304
230;132
71;890
81;694
289;533
351;911
469;788
973;647
615;592
629;832
329;320
287;665
950;23
815;316
414;49
327;844
502;976
154;653
216;529
510;873
635;382
808;559
448;642
660;655
45;372
430;383
63;743
16;721
390;607
148;769
560;854
701;500
113;755
706;341
188;481
665;181
182;693
869;531
689;903
319;58
636;94
61;493
802;391
327;695
997;173
493;577
82;31
573;129
33;544
234;52
458;367
839;1
619;719
353;899
739;970
752;761
804;117
667;897
976;405
168;214
731;461
984;505
859;788
496;948
169;365
789;78
185;212
15;36
952;908
182;97
703;738
896;470
79;542
214;804
100;427
467;903
957;945
660;854
176;392
170;32
751;422
137;462
218;970
552;588
959;711
356;834
906;213
257;236
579;975
586;373
632;369
164;33
923;859
840;0
835;549
92;655
774;849
427;459
